Season	Team	GP	G	A	PTS	PTS/G	82GP Pace	+/-	PIM	SOG	S%	HITS	PPG	PPP	SHG	SHP	BLKS	FOW	FOW%	PPTOI	%PP	%SH	TOI
2019-2020	DAL	69	19	20	39	0.57	46	-4	53	163	11.7	167	8	14	0	0	57	244	55.8	02:24	50.9	5.3	16:26
2018-2019	DAL	78	27	26	53	0.68	56	14	56	189	14.3	142	8	11	0	0	71	205	49.0	02:38	61.5	7.6	18:14
2017-2018	DAL	82	36	43	79	0.96	79	20	54	241	14.9	140	9	22	1	2	62	381	52.5	03:03	63.0	24.2	19:49
2016-2017	DAL	77	26	43	69	0.90	73	-9	66	201	12.9	89	12	26	1	1	47	212	51.5	03:06	59.2	29.8	19:22
2015-2016	DAL	82	41	48	89	1.09	89	7	64	247	16.6	156	17	30	2	5	55	226	47.3	03:12	62.2	31.6	20:01
2014-2015	DAL	82	35	52	87	1.06	87	1	64	253	13.8	120	10	23	2	5	50	298	51.7	03:34	60.8	28.5	19:57
2013-2014	DAL	81	34	45	79	0.98	80	21	64	279	12.2	118	5	19	1	3	60	411	52.8	03:40	60.2	14.7	19:09
2012-2013	DAL	41	12	21	33	0.80	66	-12	40	110	10.9	71	3	10	0	0	32	327	46.1	03:19	56.3	7.5	19:55
2011-2012	DAL	71	26	36	62	0.87	72	15	55	203	12.8	135	2	11	1	1	52	347	46.2	02:18	43.4	11.6	18:04
2010-2011	DAL	69	22	34	56	0.81	67	-5	52	177	12.4	124	6	11	4	6	41	84	43.1	02:18	36.6	29.0	18:01
2009-2010	DAL	82	22	19	41	0.50	41	-1	45	182	12.1	186	2	7	0	0	39	109	46.2	01:55	29.9	0.9	14:42
3 Year AVG		82	29	32	61	0.75	61	11	58	212	13.8	161	9	17	0	1	68	297	52.5	02:43	58.8	13.4	18:16
